#{"source_key": "HCR", "source_url": "http://www.unhcr.org/en-us/statistics/unhcrstats/58aa8f247/mid-year-trends-june-2016.html", "source_date": "2017-02-01", "extract_date": "2017-04-04", "update_frequency": "Every six months", "additional_metadata": {"Raw Annex Tables URL": "http://www.unhcr.org/cgi-bin/texis/vtx/home/opendocAttachment.zip?COMID=58aa8f854"}}
Country,Asylum-seekers,"IDPs protected/assisted by UNHCR, incl. people in IDP-like situations",Others of concern to UNHCR,People in refugee-like situations,Persons under UNHCR's statelessness mandate,Returned IDPs,Returned refugees,Total Refugee and people in refugee-like situations,Total population of concern,countryCode
"Afghanistan",97,1323391,126351,0,0,0,8315,54920,1513074,"AFG"
"Albania",1277,0,0,0,7439,0,0,110,8826,"ALB"
"Algeria",5608,0,0,0,0,0,0,94219,99827,"DZA"
"Angola",30143,0,0,0,0,0,0,15555,45698,"AGO"
"Anguilla",0,0,0,0,0,0,0,1,1,"AIA"
"Antigua and Barbuda",0,0,0,0,0,0,0,15,15,"ATG"
"Argentina",1764,0,0,0,0,0,0,3222,4986,"ARG"
"Armenia",54,0,0,15532,421,0,0,18851,19326,"ARM"
"Aruba",4,0,0,0,0,0,0,2,6,"ABW"
"Australia",21505,0,0,0,0,0,0,36648,58153,"AUS"
"Austria",83229,0,0,0,929,0,0,82217,166375,"AUT"
"Azerbaijan",259,618220,0,0,3585,0,0,1251,623315,"AZE"
"Bahamas",17,0,86,0,11,0,0,11,125,"BHS"
"Bahrain",79,0,0,0,0,0,0,271,350,"BHR"
"Bangladesh",0,0,0,200000,0,0,0,233019,233019,"BGD"
"Barbados",0,0,0,0,0,0,0,0,0,"BRB"
"Belarus",136,0,0,0,5635,0,0,2136,7907,"BLR"
"Belgium",28156,0,0,0,2027,0,0,33624,63807,"BEL"
"Belize",2761,0,200,0,0,0,0,165,3126,"BLZ"
"Benin",105,0,0,0,0,0,0,647,752,"BEN"
"Bolivia (Plurinational State of)",2,0,0,0,0,0,0,778,780,"BOL"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,NA
"Bosnia and Herzegovina",12,98324,52437,0,63,0,0,6782,157618,"BIH"
"Botswana",221,0,504,0,0,0,0,2120,2845,"BWA"
"Brazil",25739,0,6264,0,4,0,0,9077,41084,"BRA"
"British Virgin Islands",0,0,0,0,0,0,0,0,0,"VGB"
"Brunei Darussalam",0,0,0,0,20524,0,0,0,20524,"BRN"
"Bulgaria",16647,0,0,0,67,0,0,17008,33722,"BGR"
"Burkina Faso",138,0,0,0,0,0,0,32544,32682,"BFA"
"Burundi",2894,42275,638,0,1302,0,2584,53465,103158,"BDI"
"Cabo Verde",0,0,0,0,115,0,0,0,115,"CPV"
"Cambodia",200,0,0,0,0,0,0,65,265,"KHM"
"Cameroon",2649,190591,34,8251,0,8251,131,343289,544945,"CMR"
"Canada",19951,0,0,0,0,0,0,135888,155839,"CAN"
"Cayman Islands",61,0,0,0,0,0,0,13,74,"CYM"
"Central African Rep.",403,391433,0,0,0,60553,6604,11473,470466,"CAF"
"Chad",2263,74000,50000,0,0,0,1,386050,512314,"TCD"
"Chile",1780,0,0,0,0,0,0,1890,3670,"CHL"
"China",654,0,0,0,0,0,0,301043,301697,"CHN"
"China, Hong Kong SAR",2315,0,0,0,1,0,0,140,2456,"HKG"
"China, Macao SAR",6,0,0,0,0,0,0,0,6,"MAC"
"Colombia",266,7126328,0,0,12,0,119,245,7126970,"COL"
"Comoros",0,0,0,0,0,0,0,0,0,"COM"
"Congo, Republic of",6472,0,3048,0,0,0,1,45361,54882,"COG"
"Costa Rica",4605,0,0,0,1756,0,0,3785,10146,"CRI"
"Croatia",257,0,11855,214,2873,0,24,442,15451,"HRV"
"Cuba",22,0,0,0,0,0,0,333,355,"CUB"
